Company,Item Description (Raw),Item Code / Legacy Ref,Quantity,UOM,Part Number / OEM Number,Make / Brand,Specifications / Dimensions
ONGC,ROLLER  BEARING  SPHERICAL  22316  EK  C3 **OEM ONLY**,MAT7177167,23,MT,PN-7327-B,BEML,Standard specification as per IS/ISO. Dimension: 197mm. Material: Rubber.
GAIL,led flood light 200w ip66 6500k cg/philips,MAT7754784,3144,LTR,PN-6939-B,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 76mm. Material: SS316.
IOCL,wire  rope  16mm  dia  6x36  fmc  rhrl  ungalvanized - URGENT REQ,MAT8071604,4621,LTR,PN-4932-Z,KOMATSU,Standard specification as per IS/ISO. Dimension: 207mm. Material: Rubber.
IOCL,wire  rope  16mm  dia  6x36  fmc  rhrl  ungalvanized - URGENT REQ,MAT3962196,521,KGS,N/A,PHILIPS,Standard specification as per IS/ISO. Dimension: 83mm. Material: Brass.
HEC,pressure gauge 0-100 kg/cm2 150mm dial bottom entry,MAT3152741,4841,BTL,PN-5190-Y,ESCO,Standard specification as per IS/ISO. Dimension: 166mm. Material: SS316.
ONGC,BEARING BALL RADIAL 6205 2RS SKF/FAG MAKE ONLY,MAT6177420,2058,MTR,PN-1886-Y,UNBRAKO,Standard specification as per IS/ISO. Dimension: 248mm. Material: MS.
BHEL,air filter element outer & inner for beml dumper,MAT4677911,2366,MTR,PN-2920-A,ABB,Standard specification as per IS/ISO. Dimension: 55mm. Material: SS304.
NTPC,o-ring p/n 87654321 for komatsu dumper hemm spare,MAT4186915,1781,SET,PN-4007-B,SIEMENS,Standard specification as per IS/ISO. Dimension: 194mm. Material: SS316.
Coal India (BCCL),led flood light 200w ip66 6500k cg/philips,MAT9054570,87,PAIR,PN-6997-Y,KOMATSU,Standard specification as per IS/ISO. Dimension: 20mm. Material: Alloy Steel.
BHEL,bull dozer track chain assembly 39 links,MAT7375361,4191,SET,PN-6746-X,CUMMINS,Standard specification as per IS/ISO. Dimension: 158mm. Material: SS316.
IOCL,TAPER  ROLLER  BEARING  32218  J2/Q   REQ AS PER ATTACHED SPEC,MAT6791288,2623,KGS,PN-1125-A,PHILIPS,Standard specification as per IS/ISO. Dimension: 103mm. Material: Brass.
HEC,LUBRICATING OIL SERVO SYSTEM 68 IN 210 LTR DRUM,MAT5783762,3856,MTR,PN-3936-B,L&T,Standard specification as per IS/ISO. Dimension: 248mm. Material: MS.
NTPC,wire  rope  16mm  dia  6x36  fmc  rhrl  ungalvanized - URGENT REQ,MAT4062970,4649,SET,PN-8621-X,FAG,Standard specification as per IS/ISO. Dimension: 112mm. Material: Rubber.
NTPC,TRANSFORMER  OIL  EHV  GRADE  IN  209  LTR  BARREL - URGENT REQ,MAT4202965,3016,SET,PN-2328-Y,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 157mm. Material: Brass.
NTPC,oxygen gas cylinder refill industrial grade,MAT6284902,3835,PAIR,PN-6338-B,PIX,Standard specification as per IS/ISO. Dimension: 188mm. Material: MS.
GAIL,SAFETY  SHOE  MENS  BLACK  SIZE  9  LEATHER  CE  APPROVED   REQ AS PER ATTACHED SPEC,MAT9583507,302,ROLL,PN-3197-X,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 288mm. Material: MS.
ONGC,mcb 4 pole 63 amp c curve 10ka,MAT1663450,1028,MT,PN-4494-Y,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 119mm. Material: Alloy Steel.
HEC,TAPER ROLLER BEARING 32218 J2/Q,MAT9013463,1266,MT,PN-1688-B,CUMMINS,Standard specification as per IS/ISO. Dimension: 30mm. Material: Rubber.
NTPC,WIRE  ROPE  16MM  DIA  6X36  FMC  RHRL  UNGALVANIZED (BOQ1 REF),MAT5593933,3543,NOS,PN-3074-B,ABB,Standard specification as per IS/ISO. Dimension: 239mm. Material: SS316.
GAIL,led flood light 200w ip66 6500k cg/philips,MAT1955940,1015,LTR,N/A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 40mm. Material: Brass.
Coal India (Central Coalfields Limited),transformer  oil  ehv  grade  in  209  ltr  barrel (BOQ1 REF),MAT3664147,2962,MTR,PN-6941-A,BOSCH,Standard specification as per IS/ISO. Dimension: 157mm. Material: SS304.
IOCL,V  BELT  C-120  FENNER  PIX  ONLY  FOR  CRUSHER  DRIVE - URGENT REQ,MAT6707531,301,SET,PN-5707-Z,PHILIPS,Standard specification as per IS/ISO. Dimension: 138mm. Material: Rubber.
IOCL,TRANSFORMER OIL EHV GRADE IN 209 LTR BARREL,MAT3633678,3537,LTR,N/A,CUMMINS,Standard specification as per IS/ISO. Dimension: 70mm. Material: Rubber.
Coal India (Central Coalfields Limited),O-RING P/N 87654321 FOR KOMATSU DUMPER HEMM SPARE,MAT3188080,1986,MTR,PN-5371-Z,L&T,Standard specification as per IS/ISO. Dimension: 276mm. Material: SS316.
NTPC,air filter element outer & inner for beml dumper,MAT8587322,1136,BTL,PN-6271-A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 79mm. Material: Rubber.
GAIL,ROLLER BEARING SPHERICAL 22316 EK C3,MAT5293779,389,BTL,PN-9380-B,UNBRAKO,Standard specification as per IS/ISO. Dimension: 96mm. Material: Brass.
NTPC,taper roller bearing 32218 j2/q,MAT1828209,1360,MT,PN-9495-X,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 200mm. Material: Rubber.
HEC,HIGH TENSILE BOLT M24 X 100MM GRADE 8.8 GALVANIZED,MAT3024899,2823,MTR,PN-2832-Z,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 237mm. Material: Brass.
BHEL,industrial  heater  2kw  230v  tubular  type - URGENT REQ,MAT3443751,1197,MT,PN-8555-Z,CG,Standard specification as per IS/ISO. Dimension: 134mm. Material: Alloy Steel.
NTPC,bull dozer track chain assembly 39 links,MAT7379202,2521,KGS,PN-1890-A,ABB,Standard specification as per IS/ISO. Dimension: 210mm. Material: MS.
IOCL,led flood light 200w ip66 6500k cg/philips,MAT1672665,2016,MT,PN-6570-B,ESCO,Standard specification as per IS/ISO. Dimension: 99mm. Material: SS304.
Coal India (Central Coalfields Limited),industrial heater 2kw 230v tubular type,MAT9956868,146,LTR,PN-6973-Z,L&T,Standard specification as per IS/ISO. Dimension: 259mm. Material: SS304.
NTPC,flange gasket 150# 100mm nb spiral wound non asbestos,MAT2675748,1576,SET,PN-6104-Z,FENNER,Standard specification as per IS/ISO. Dimension: 293mm. Material: SS316.
IOCL,BALL VALVE 1 INCH SS316 1000 WOG PTFE SEAT,MAT3183294,3302,ROLL,PN-5757-Y,PIX,Standard specification as per IS/ISO. Dimension: 124mm. Material: Brass.
ONGC,SUBMERSIBLE PUMP 5HP 3 PHASE 415V,MAT9880690,1769,PAIR,PN-7790-B,SIEMENS,Standard specification as per IS/ISO. Dimension: 277mm. Material: Alloy Steel.
ONGC,pressure  gauge  0-100  kg/cm2  150mm  dial  bottom  entry **OEM ONLY**,MAT6103284,204,ROLL,N/A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 21mm. Material: Rubber.
GAIL,TAPER ROLLER BEARING 32218 J2/Q,MAT2365344,3916,MT,PN-6344-B,OEM,Standard specification as per IS/ISO. Dimension: 62mm. Material: MS.
Coal India (BCCL),RUBBER CONVEYOR BELT 800MM WIDE EP 400/3,MAT4755201,1978,BTL,PN-8166-A,SIEMENS,Standard specification as per IS/ISO. Dimension: 216mm. Material: Brass.
IOCL,gate  valve  2  inch  800#  forged  steel  a105   REQ AS PER ATTACHED SPEC,MAT1346574,289,PAIR,PN-7280-B,ABB,Standard specification as per IS/ISO. Dimension: 28mm. Material: SS316.
GAIL,BALL  VALVE  1  INCH  SS316  1000  WOG  PTFE  SEAT (BOQ1 REF),MAT9881432,3930,KGS,PN-5307-Z,ABB,Standard specification as per IS/ISO. Dimension: 62mm. Material: SS304.
HEC,air  filter  element  outer  &  inner  for  beml  dumper   REQ AS PER ATTACHED SPEC,MAT6472376,3617,MT,PN-2718-B,SKF,Standard specification as per IS/ISO. Dimension: 172mm. Material: SS304.
BHEL,BEARING BALL RADIAL 6205 2RS SKF/FAG MAKE ONLY,MAT9012069,1731,SET,N/A,FAG,Standard specification as per IS/ISO. Dimension: 129mm. Material: Brass.
IOCL,lubricating  oil  servo  system  68  in  210  ltr  drum - URGENT REQ,MAT6074878,613,NOS,N/A,FAG,Standard specification as per IS/ISO. Dimension: 44mm. Material: Alloy Steel.
Coal India (BCCL),submersible pump 5hp 3 phase 415v,MAT6165168,327,LTR,PN-3225-X,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 279mm. Material: SS316.
GAIL,pressure  gauge  0-100  kg/cm2  150mm  dial  bottom  entry - URGENT REQ,MAT3550306,3662,BTL,N/A,TVS,Standard specification as per IS/ISO. Dimension: 58mm. Material: SS304.
ONGC,lubricating oil servo system 68 in 210 ltr drum,MAT5766971,1322,PAIR,PN-5118-Z,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 190mm. Material: MS.
BHEL,rubber conveyor belt 800mm wide ep 400/3,MAT8218221,4367,NOS,PN-7503-A,KOMATSU,Standard specification as per IS/ISO. Dimension: 68mm. Material: Alloy Steel.
NTPC,bearing ball radial 6205 2rs skf/fag make only,MAT9591986,2488,NOS,PN-4314-Z,SIEMENS,Standard specification as per IS/ISO. Dimension: 285mm. Material: Rubber.
Coal India (BCCL),filter  lube  oil  for  cummins  engine  kta19 (BOQ1 REF),MAT8899927,1515,SET,PN-8002-A,FENNER,Standard specification as per IS/ISO. Dimension: 82mm. Material: SS316.
Coal India (Central Coalfields Limited),contactor  3  pole  400v  63a  l&t/siemens - URGENT REQ,MAT9107110,2616,MT,PN-7707-A,ABB,Standard specification as per IS/ISO. Dimension: 259mm. Material: Rubber.
GAIL,RUBBER  CONVEYOR  BELT  800MM  WIDE  EP  400/3 **OEM ONLY**,MAT2262244,1552,PAIR,N/A,PIX,Standard specification as per IS/ISO. Dimension: 291mm. Material: MS.
Coal India (BCCL),RUBBER CONVEYOR BELT 800MM WIDE EP 400/3,MAT4445725,383,SET,PN-2400-B,BEML,Standard specification as per IS/ISO. Dimension: 171mm. Material: MS.
ONGC,filter lube oil for cummins engine kta19,MAT5527893,3464,SET,N/A,BEML,Standard specification as per IS/ISO. Dimension: 297mm. Material: SS304.
Coal India (BCCL),CONTACTOR  3  POLE  400V  63A  L&T/SIEMENS **OEM ONLY**,MAT8999372,1105,SET,N/A,CUMMINS,Standard specification as per IS/ISO. Dimension: 159mm. Material: MS.
GAIL,submersible  pump  5hp  3  phase  415v (BOQ1 REF),MAT6651442,4525,NOS,PN-4637-Y,TVS,Standard specification as per IS/ISO. Dimension: 20mm. Material: Alloy Steel.
BHEL,m.s.  hex  bolt  &  nut  m16x65mm  long  is:1363 - URGENT REQ,MAT1171172,4349,SET,PN-5637-A,ABB,Standard specification as per IS/ISO. Dimension: 293mm. Material: Brass.
ONGC,ROLLER BEARING SPHERICAL 22316 EK C3,MAT5081374,3834,MT,PN-3229-Y,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 261mm. Material: Brass.
Coal India (BCCL),SEAL  KIT  FOR  HYDRAULIC  CYLINDER  BEML  DOZER (BOQ1 REF),MAT2854070,1210,SET,N/A,OEM,Standard specification as per IS/ISO. Dimension: 41mm. Material: SS316.
NTPC,welding  electrode  e7018  3.15mm  x  450mm   REQ AS PER ATTACHED SPEC,MAT4628149,2281,MT,PN-2155-A,CUMMINS,Standard specification as per IS/ISO. Dimension: 90mm. Material: SS316.
HEC,AIR  FILTER  ELEMENT  OUTER  &  INNER  FOR  BEML  DUMPER **OEM ONLY**,MAT8493488,2801,NOS,PN-4356-X,BEML,Standard specification as per IS/ISO. Dimension: 176mm. Material: SS304.
Coal India (BCCL),oxygen gas cylinder refill industrial grade,MAT7254369,4232,BTL,N/A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 101mm. Material: MS.
Coal India (BCCL),m.s. hex bolt & nut m16x65mm long is:1363,MAT8528376,3369,PAIR,PN-5441-A,SKF,Standard specification as per IS/ISO. Dimension: 39mm. Material: MS.
ONGC,ROLLER BEARING SPHERICAL 22316 EK C3,MAT3344778,1677,KGS,N/A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 37mm. Material: MS.
ONGC,seal  kit  for  hydraulic  cylinder  beml  dozer   REQ AS PER ATTACHED SPEC,MAT1139671,1112,NOS,PN-9594-B,TVS,Standard specification as per IS/ISO. Dimension: 65mm. Material: MS.
NTPC,TRANSFORMER OIL EHV GRADE IN 209 LTR BARREL,MAT2023534,4163,LTR,N/A,BEML,Standard specification as per IS/ISO. Dimension: 268mm. Material: MS.
GAIL,SAFETY  SHOE  MENS  BLACK  SIZE  9  LEATHER  CE  APPROVED (BOQ1 REF),MAT3704001,4508,LTR,PN-4496-Z,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 169mm. Material: SS316.
HEC,SUBMERSIBLE PUMP 5HP 3 PHASE 415V,MAT9781305,3887,NOS,PN-7846-A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 139mm. Material: MS.
BHEL,filter  lube  oil  for  cummins  engine  kta19 (BOQ1 REF),MAT9092243,4445,PAIR,PN-4852-Z,TVS,Standard specification as per IS/ISO. Dimension: 108mm. Material: SS316.
Coal India (BCCL),contactor 3 pole 400v 63a l&t/siemens,MAT3783040,3009,LTR,PN-2226-Z,UNBRAKO,Standard specification as per IS/ISO. Dimension: 248mm. Material: SS316.
GAIL,v belt c-120 fenner pix only for crusher drive,MAT6116295,105,MTR,PN-6765-B,PIX,Standard specification as per IS/ISO. Dimension: 172mm. Material: SS316.
ONGC,SEAL  KIT  FOR  HYDRAULIC  CYLINDER  BEML  DOZER **OEM ONLY**,MAT5995555,1078,ROLL,PN-5071-Z,UNBRAKO,Standard specification as per IS/ISO. Dimension: 283mm. Material: SS304.
ONGC,air  filter  element  outer  &  inner  for  beml  dumper - URGENT REQ,MAT5591352,416,KGS,PN-3626-Z,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 297mm. Material: MS.
HEC,FILTER  LUBE  OIL  FOR  CUMMINS  ENGINE  KTA19 **OEM ONLY**,MAT4244679,2423,LTR,N/A,UNBRAKO,Standard specification as per IS/ISO. Dimension: 135mm. Material: Brass.
BHEL,filter  lube  oil  for  cummins  engine  kta19 **OEM ONLY**,MAT4471251,4457,PAIR,PN-4534-Z,KOMATSU,Standard specification as per IS/ISO. Dimension: 180mm. Material: SS316.
IOCL,LUBRICATING  OIL  SERVO  SYSTEM  68  IN  210  LTR  DRUM - URGENT REQ,MAT2730535,652,BTL,PN-2735-B,BEML,Standard specification as per IS/ISO. Dimension: 33mm. Material: SS316.
ONGC,led flood light 200w ip66 6500k cg/philips,MAT2395378,3221,ROLL,PN-4431-A,PHILIPS,Standard specification as per IS/ISO. Dimension: 252mm. Material: SS304.
ONGC,seal kit for hydraulic cylinder beml dozer,MAT6833477,2608,BTL,N/A,TVS,Standard specification as per IS/ISO. Dimension: 272mm. Material: Rubber.
HEC,GATE  VALVE  2  INCH  800#  FORGED  STEEL  A105   REQ AS PER ATTACHED SPEC,MAT5836491,3504,KGS,PN-2053-A,OEM,Standard specification as per IS/ISO. Dimension: 202mm. Material: Brass.
IOCL,FILTER  LUBE  OIL  FOR  CUMMINS  ENGINE  KTA19 (BOQ1 REF),MAT7322652,469,PAIR,PN-3071-A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 152mm. Material: Rubber.
NTPC,mcb 4 pole 63 amp c curve 10ka,MAT1427705,4900,NOS,PN-7968-A,FAG,Standard specification as per IS/ISO. Dimension: 277mm. Material: MS.
ONGC,SS  TUBE  1/2  INCH  OD  X  1.2MM  THK  ASTM  A213   REQ AS PER ATTACHED SPEC,MAT5813412,4545,SET,PN-7653-A,CUMMINS,Standard specification as per IS/ISO. Dimension: 110mm. Material: SS316.
Coal India (Central Coalfields Limited),TRANSFORMER OIL EHV GRADE IN 209 LTR BARREL,MAT5998771,4044,PAIR,PN-7263-Z,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 18mm. Material: Rubber.
Coal India (Central Coalfields Limited),O-RING  P/N  87654321  FOR  KOMATSU  DUMPER  HEMM  SPARE - URGENT REQ,MAT9059836,2806,PAIR,N/A,KOMATSU,Standard specification as per IS/ISO. Dimension: 33mm. Material: Alloy Steel.
HEC,led flood light 200w ip66 6500k cg/philips,MAT7071765,1065,MT,N/A,CG,Standard specification as per IS/ISO. Dimension: 77mm. Material: Alloy Steel.
Coal India (BCCL),submersible pump 5hp 3 phase 415v,MAT4081702,2304,SET,PN-2139-A,CG,Standard specification as per IS/ISO. Dimension: 283mm. Material: SS304.
IOCL,INDUSTRIAL HEATER 2KW 230V TUBULAR TYPE,MAT6420968,1789,MTR,N/A,OEM,Standard specification as per IS/ISO. Dimension: 51mm. Material: MS.
ONGC,seal  kit  for  hydraulic  cylinder  beml  dozer   REQ AS PER ATTACHED SPEC,MAT4987806,2093,KGS,N/A,ABB,Standard specification as per IS/ISO. Dimension: 264mm. Material: MS.
NTPC,filter lube oil for cummins engine kta19,MAT7381325,74,ROLL,PN-7232-X,ABB,Standard specification as per IS/ISO. Dimension: 274mm. Material: Alloy Steel.
IOCL,air filter element outer & inner for beml dumper,MAT7799833,170,MT,N/A,L&T,Standard specification as per IS/ISO. Dimension: 82mm. Material: SS304.
ONGC,bull dozer track chain assembly 39 links,MAT3453753,4606,MTR,PN-6001-X,FENNER,Standard specification as per IS/ISO. Dimension: 268mm. Material: Alloy Steel.
Coal India (Central Coalfields Limited),v  belt  c-120  fenner  pix  only  for  crusher  drive (BOQ1 REF),MAT3819341,4521,BTL,PN-4711-X,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 186mm. Material: SS304.
BHEL,FLANGE  GASKET  150#  100MM  NB  SPIRAL  WOUND  NON  ASBESTOS - URGENT REQ,MAT5801423,2675,MTR,N/A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 24mm. Material: Brass.
NTPC,ss tube 1/2 inch od x 1.2mm thk astm a213,MAT2244683,1947,KGS,N/A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 284mm. Material: Rubber.
Coal India (Central Coalfields Limited),HYDRAULIC  HOSE  1  INCH  R2  10  METERS  WITH  FITTINGS - URGENT REQ,MAT1000125,4320,MTR,PN-6364-Y,CUMMINS,Standard specification as per IS/ISO. Dimension: 18mm. Material: MS.
BHEL,led  flood  light  200w  ip66  6500k  cg/philips - URGENT REQ,MAT2466708,1994,NOS,PN-1259-Y,CG,Standard specification as per IS/ISO. Dimension: 158mm. Material: Brass.
GAIL,INDUSTRIAL HEATER 2KW 230V TUBULAR TYPE,MAT5957524,4175,SET,N/A,PHILIPS,Standard specification as per IS/ISO. Dimension: 127mm. Material: Rubber.
NTPC,wire  rope  16mm  dia  6x36  fmc  rhrl  ungalvanized (BOQ1 REF),MAT3217157,470,LTR,PN-3098-Y,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 208mm. Material: Rubber.
NTPC,taper  roller  bearing  32218  j2/q   REQ AS PER ATTACHED SPEC,MAT2027417,1710,BTL,PN-2390-X,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 239mm. Material: SS316.
Coal India (Central Coalfields Limited),gate  valve  2  inch  800#  forged  steel  a105 (BOQ1 REF),MAT6434443,1198,KGS,PN-1504-X,TVS,Standard specification as per IS/ISO. Dimension: 194mm. Material: Alloy Steel.
GAIL,led  flood  light  200w  ip66  6500k  cg/philips - URGENT REQ,MAT8779374,144,KGS,N/A,CG,Standard specification as per IS/ISO. Dimension: 92mm. Material: SS304.
Coal India (BCCL),oxygen gas cylinder refill industrial grade,MAT4712735,909,PAIR,PN-8007-B,SIEMENS,Standard specification as per IS/ISO. Dimension: 299mm. Material: SS304.
BHEL,industrial heater 2kw 230v tubular type,MAT6065244,3194,LTR,N/A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 117mm. Material: Alloy Steel.
NTPC,pressure gauge 0-100 kg/cm2 150mm dial bottom entry,MAT2125187,1036,PAIR,N/A,ESCO,Standard specification as per IS/ISO. Dimension: 154mm. Material: Rubber.
BHEL,hydraulic  hose  1  inch  r2  10  meters  with  fittings   REQ AS PER ATTACHED SPEC,MAT3310147,3941,LTR,PN-2219-X,TVS,Standard specification as per IS/ISO. Dimension: 90mm. Material: MS.
NTPC,v belt c-120 fenner pix only for crusher drive,MAT6650084,1896,NOS,PN-5050-B,ABB,Standard specification as per IS/ISO. Dimension: 143mm. Material: Brass.
ONGC,m.s. hex bolt & nut m16x65mm long is:1363,MAT1426140,1829,ROLL,PN-9321-X,BEML,Standard specification as per IS/ISO. Dimension: 180mm. Material: SS304.
BHEL,BALL  VALVE  1  INCH  SS316  1000  WOG  PTFE  SEAT (BOQ1 REF),MAT7605733,1843,MT,PN-4911-X,PHILIPS,Standard specification as per IS/ISO. Dimension: 298mm. Material: Alloy Steel.
Coal India (Central Coalfields Limited),OXYGEN GAS CYLINDER REFILL INDUSTRIAL GRADE,MAT7961006,2652,KGS,PN-3757-X,L&T,Standard specification as per IS/ISO. Dimension: 284mm. Material: SS316.
IOCL,high tensile bolt m24 x 100mm grade 8.8 galvanized,MAT6830379,2998,SET,PN-3452-B,FAG,Standard specification as per IS/ISO. Dimension: 194mm. Material: MS.
BHEL,SUBMERSIBLE  PUMP  5HP  3  PHASE  415V   REQ AS PER ATTACHED SPEC,MAT6126005,1031,MT,PN-4749-Z,BOSCH,Standard specification as per IS/ISO. Dimension: 243mm. Material: SS316.
NTPC,o-ring  p/n  87654321  for  komatsu  dumper  hemm  spare **OEM ONLY**,MAT2053228,531,LTR,PN-2726-A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 97mm. Material: MS.
GAIL,hydraulic hose 1 inch r2 10 meters with fittings,MAT1128094,2381,SET,PN-4912-Z,UNBRAKO,Standard specification as per IS/ISO. Dimension: 229mm. Material: Alloy Steel.
ONGC,GATE VALVE 2 INCH 800# FORGED STEEL A105,MAT4089565,2283,PAIR,PN-4844-B,OEM,Standard specification as per IS/ISO. Dimension: 221mm. Material: Rubber.
Coal India (BCCL),pressure gauge 0-100 kg/cm2 150mm dial bottom entry,MAT3020600,1735,MT,N/A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 278mm. Material: Brass.
HEC,contactor 3 pole 400v 63a l&t/siemens,MAT2754487,3566,LTR,N/A,ABB,Standard specification as per IS/ISO. Dimension: 178mm. Material: Brass.
ONGC,roller  bearing  spherical  22316  ek  c3 (BOQ1 REF),MAT9814971,1007,SET,N/A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 171mm. Material: SS316.
Coal India (Central Coalfields Limited),high tensile bolt m24 x 100mm grade 8.8 galvanized,MAT9948340,4136,NOS,N/A,SKF,Standard specification as per IS/ISO. Dimension: 92mm. Material: MS.
Coal India (Central Coalfields Limited),mcb  4  pole  63  amp  c  curve  10ka   REQ AS PER ATTACHED SPEC,MAT6108786,2265,SET,N/A,KOMATSU,Standard specification as per IS/ISO. Dimension: 158mm. Material: Brass.
BHEL,submersible  pump  5hp  3  phase  415v **OEM ONLY**,MAT6181774,839,SET,PN-7979-B,SIEMENS,Standard specification as per IS/ISO. Dimension: 261mm. Material: Brass.
ONGC,air  filter  element  outer  &  inner  for  beml  dumper   REQ AS PER ATTACHED SPEC,MAT7381895,639,MT,PN-5660-Y,CUMMINS,Standard specification as per IS/ISO. Dimension: 249mm. Material: Alloy Steel.
BHEL,FLANGE GASKET 150# 100MM NB SPIRAL WOUND NON ASBESTOS,MAT7451239,796,KGS,PN-4590-A,L&T,Standard specification as per IS/ISO. Dimension: 106mm. Material: Alloy Steel.
